,0_q70,0_q50,0_q30,0_q10,0_q05,1_q70,1_q50,1_q30,1_q10,1_q05,2_q70,2_q50,2_q30,2_q10,2_q05,3_q70,3_q50,3_q30,3_q10,3_q05,4_q70,4_q50,4_q30,4_q10,4_q05
1462,5.012766242027283,5.872588753700256,7.178612947463989,10.541258811950684,13.156669616699219,5.008464932441711,5.873125314712524,7.15339207649231,10.518685817718506,13.131584405899048,5.014236569404602,5.866586685180664,7.160674810409546,10.560030698776245,13.195648670196533,5.006030917167664,5.884752511978149,7.158732533454895,10.504462718963623,13.104788064956665,5.005521774291992,5.878384470939636,7.153401970863342,10.509742021560669,13.108758926391602
1463,5.015411376953125,5.875843524932861,7.1828824281692505,10.54771113395691,13.16518783569336,5.011006832122803,5.876380681991577,7.15749979019165,10.52496075630188,13.140143394470215,5.016796946525574,5.869817852973938,7.164763927459717,10.566285133361816,13.204068899154663,5.00861918926239,5.887990355491638,7.162876009941101,10.51070499420166,13.113172054290771,5.008115530014038,5.881573438644409,7.157495498657227,10.516081809997559,13.117279767990112
1464,5.0180583000183105,5.879101395606995,7.187155604362488,10.55416488647461,13.173710823059082,5.013550877571106,5.879638671875,7.1616106033325195,10.53123688697815,13.148707866668701,5.01935875415802,5.873051881790161,7.168855905532837,10.5725417137146,13.212493419647217,5.011208772659302,5.891229867935181,7.167023062705994,10.516948223114014,13.12156081199646,5.010712146759033,5.8847655057907104,7.161592483520508,10.522425413131714,13.125806093215942
1465,5.020705819129944,5.882362604141235,7.19143271446228,10.560622692108154,13.182244300842285,5.016095042228699,5.882900238037109,7.165726065635681,10.537516355514526,13.157283306121826,5.021920204162598,5.87628960609436,7.172951936721802,10.578801155090332,13.220928430557251,5.01379930973053,5.894471883773804,7.171175003051758,10.52319598197937,13.129961967468262,5.013310790061951,5.88796067237854,7.165693402290344,10.52877426147461,13.134345293045044
1466,5.023356199264526,5.88562798500061,7.195714354515076,10.567084312438965,13.190783262252808,5.018642067909241,5.886165618896484,7.16984486579895,10.543798923492432,13.165864706039429,5.024484872817993,5.8795307874679565,7.177052140235901,10.585063934326172,13.229368925094604,5.016393184661865,5.897716760635376,7.175330638885498,10.529446840286255,13.138367652893066,5.015913367271423,5.891158699989319,7.1697986125946045,10.535128831863403,13.142889738082886
1467,5.026006102561951,5.888896584510803,7.1999993324279785,10.573548078536987,13.199328899383545,5.0211886167526245,5.889434099197388,7.173967361450195,10.550083875656128,13.174452543258667,5.027048230171204,5.882775068283081,7.181154727935791,10.591328382492065,13.23781442642212,5.018986344337463,5.90096390247345,7.179489970207214,10.535700559616089,13.146782636642456,5.018517017364502,5.894360780715942,7.1739078760147095,10.541487693786621,13.151443004608154
1468,5.0286595821380615,5.892168879508972,7.204289436340332,10.58001708984375,13.207883596420288,5.0237380266189575,5.89270555973053,7.178094267845154,10.556371212005615,13.18304991722107,5.029614329338074,5.886022925376892,7.185262084007263,10.597595930099487,13.24626898765564,5.021583318710327,5.904213190078735,7.183654189109802,10.541957139968872,13.155205488204956,5.021125316619873,5.897565245628357,7.178021311759949,10.547852039337158,13.160005569458008
1469,5.031312465667725,5.895443797111511,7.208583116531372,10.586488008499146,13.216444492340088,5.026288032531738,5.895980477333069,7.182225227355957,10.56266164779663,13.191654443740845,5.032180309295654,5.8892741203308105,7.189372897148132,10.603866577148438,13.254729747772217,5.024180769920349,5.907464981079102,7.187822461128235,10.548216342926025,13.163636684417725,5.02373468875885,5.900772571563721,7.182138681411743,10.554220914840698,13.168575525283813
1470,5.0339672565460205,5.898722410202026,7.21288001537323,10.592963457107544,13.22501277923584,5.028839111328125,5.899258255958557,7.186359167098999,10.568955659866333,13.20026683807373,5.03474748134613,5.892527937889099,7.19348680973053,10.610140085220337,13.26319670677185,5.026779413223267,5.91071891784668,7.1919944286346436,10.554479598999023,13.172075986862183,5.026347279548645,5.9039833545684814,7.186259746551514,10.560595750808716,13.177155017852783
1471,5.036623954772949,5.902005076408386,7.217182159423828,10.599440813064575,13.233585834503174,5.0313920974731445,5.902539253234863,7.190498113632202,10.575249910354614,13.208884000778198,5.037315845489502,5.8957860469818115,7.197605490684509,10.61641550064087,13.27167010307312,5.029380679130554,5.913975358009338,7.196170926094055,10.560744762420654,13.18052077293396,5.028963208198547,5.9071972370147705,7.190385580062866,10.56697416305542,13.18574070930481
